Title,Year,Duration,Rating_Category,Ratings,Total_Votes
Rebecca,1940,130.0,Approved,8.1,144000.0
Cool Hand Luke,1967,127.0,GP,8.1,186000.0
The Iron Giant,1999,86.0,PG,8.1,219000.0
Pather Panchali,1955,125.0,Not Rated,8.2,37000.0
It Happened One Night,1934,105.0,Passed,8.1,110000.0
The Help,2011,146.0,13+,8.1,483000.0
Les quatre cents coups,1959,99.0,Not Rated,8.1,125000.0
Aladdin,1992,90.0,G,8.0,453000.0
Persona,1966,85.0,Not Rated,8.1,128000.0
Dances with Wolves,1990,181.0,PG-13,8.0,284000.0
Drishyam,2015,163.0,13+,8.2,92000.0
